date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:01:38	42721/42721	---M-Z	200	added ('OK')	text/html	date:Mon,%2019%20Apr%202021%2021:19:14%20GMT	https://neuroexpert.in/	E:/My%20Websites/Neuro%20Expert/neuroexpert.in/index.html	(from )
21:01:38	853/853	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2019%20Apr%202021%2021:19:14%20GMT	https://neuroexpert.in/robots.txt		(from )
21:01:39	12239/12239	---M--	200	added ('OK')	image/png	date:Mon,%2019%20Apr%202021%2021:19:14%20GMT	https://neuroexpert.in/assets/logo.png	E:/My%20Websites/Neuro%20Expert/neuroexpert.in/assets/logo.png	(from https://neuroexpert.in/)
21:01:39	1738/1738	---M-Z	200	added ('OK')	image/png	date:Mon,%2019%20Apr%202021%2021:19:14%20GMT	https://neuroexpert.in/assets/img/apple-touch-icon.png	E:/My%20Websites/Neuro%20Expert/neuroexpert.in/assets/img/apple-touch-icon.png	(from https://neuroexpert.in/)
21:01:39	161409/161409	---M-Z	200	added ('OK')	text/css	date:Mon,%2019%20Apr%202021%2021:19:14%20GMT	https://neuroexpert.in/assets/vendor/bootstrap/css/bootstrap.min.css	E:/My%20Websites/Neuro%20Expert/neuroexpert.in/assets/vendor/bootstrap/css/bootstrap.min.css	(from https://neuroexpert.in/)
21:01:39	92208/92208	---M-Z	200	added ('OK')	text/css	date:Mon,%2019%20Apr%202021%2021:19:14%20GMT	https://neuroexpert.in/assets/vendor/icofont/icofont.min.css	E:/My%20Websites/Neuro%20Expert/neuroexpert.in/assets/vendor/icofont/icofont.min.css	(from https://neuroexpert.in/)
21:01:39	63235/63235	---M-Z	200	added ('OK')	text/css	date:Mon,%2019%20Apr%202021%2021:19:14%20GMT	https://neuroexpert.in/assets/vendor/boxicons/css/boxicons.min.css	E:/My%20Websites/Neuro%20Expert/neuroexpert.in/assets/vendor/boxicons/css/boxicons.min.css	(from https://neuroexpert.in/)
21:01:40	3351/3351	---M-Z	200	added ('OK')	text/css	date:Mon,%2019%20Apr%202021%2021:19:14%20GMT	https://neuroexpert.in/assets/vendor/owl.carousel/assets/owl.carousel.min.css	E:/My%20Websites/Neuro%20Expert/neuroexpert.in/assets/vendor/owl.carousel/assets/owl.carousel.min.css	(from https://neuroexpert.in/)
21:01:40	20309/20309	---M-Z	200	added ('OK')	text/css	date:Mon,%2019%20Apr%202021%2021:19:14%20GMT	https://neuroexpert.in/assets/vendor/venobox/venobox.css	E:/My%20Websites/Neuro%20Expert/neuroexpert.in/assets/vendor/venobox/venobox.css	(from https://neuroexpert.in/)
21:01:40	110438/110438	---M-Z	200	added ('OK')	text/css	date:Mon,%2019%20Apr%202021%2021:19:14%20GMT	https://neuroexpert.in/assets/vendor/remixicon/remixicon.css	E:/My%20Websites/Neuro%20Expert/neuroexpert.in/assets/vendor/remixicon/remixicon.css	(from https://neuroexpert.in/)
21:01:40	26053/26053	---M-Z	200	added ('OK')	text/css	date:Mon,%2019%20Apr%202021%2021:19:14%20GMT	https://neuroexpert.in/assets/vendor/aos/aos.css	E:/My%20Websites/Neuro%20Expert/neuroexpert.in/assets/vendor/aos/aos.css	(from https://neuroexpert.in/)
21:01:41	28346/28346	---M-Z	200	added ('OK')	text/css	date:Mon,%2019%20Apr%202021%2021:19:14%20GMT	https://neuroexpert.in/assets/css/style.css	E:/My%20Websites/Neuro%20Expert/neuroexpert.in/assets/css/style.css	(from https://neuroexpert.in/)
21:01:41	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2007%20Jun%202021%2015:31:52%20GMT	http://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.css	E:/My%20Websites/Neuro%20Expert/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.a.delayed	(from https://neuroexpert.in/)
21:01:41	1776/1776	---M-Z	200	added ('OK')	text/css	etag:W/%226f0-qUoFmzF4tK3sCeMoGs4oGaMAlaQ%22	https://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.css	E:/My%20Websites/Neuro%20Expert/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.css	(from https://neuroexpert.in/)
21:01:42	42721/42721	---M-Z	200	added ('OK')	text/html	date:Mon,%2019%20Apr%202021%2021:19:14%20GMT	https://neuroexpert.in/index.html	E:/My%20Websites/Neuro%20Expert/neuroexpert.in/index-2.html	(from https://neuroexpert.in/)
21:01:42	25317/25317	---M-Z	200	added ('OK')	text/html	date:Mon,%2019%20Apr%202021%2021:19:14%20GMT	https://neuroexpert.in/about-us.html	E:/My%20Websites/Neuro%20Expert/neuroexpert.in/about-us.html	(from https://neuroexpert.in/)
21:01:43	1808/1808	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2019%20Apr%202021%2021:19:14%20GMT	https://neuroexpert.in/about.html	E:/My%20Websites/Neuro%20Expert/neuroexpert.in/about.html	(from https://neuroexpert.in/)
21:01:43	22168/22168	---M-Z	200	added ('OK')	text/html	date:Mon,%2019%20Apr%202021%2021:19:14%20GMT	https://neuroexpert.in/Acute-Stroke-Interventions.html	E:/My%20Websites/Neuro%20Expert/neuroexpert.in/Acute-Stroke-Interventions.html	(from https://neuroexpert.in/)
21:01:44	19863/19863	---M-Z	200	added ('OK')	text/html	date:Mon,%2019%20Apr%202021%2021:19:14%20GMT	https://neuroexpert.in/Cerebral-Aneurysm.html	E:/My%20Websites/Neuro%20Expert/neuroexpert.in/Cerebral-Aneurysm.html	(from https://neuroexpert.in/)
21:01:44	17290/17290	---M-Z	200	added ('OK')	text/html	date:Mon,%2019%20Apr%202021%2021:19:14%20GMT	https://neuroexpert.in/Cerebral-Arteriovenous-Malformation.html	E:/My%20Websites/Neuro%20Expert/neuroexpert.in/Cerebral-Arteriovenous-Malformation.html	(from https://neuroexpert.in/)
21:01:45	14650/14650	---M-Z	200	added ('OK')	text/html	date:Mon,%2019%20Apr%202021%2021:19:14%20GMT	https://neuroexpert.in/Trigeminal-Neuralgia.html	E:/My%20Websites/Neuro%20Expert/neuroexpert.in/Trigeminal-Neuralgia.html	(from https://neuroexpert.in/)
21:01:45	11251/11251	---M-Z	200	added ('OK')	text/html	date:Mon,%2019%20Apr%202021%2021:19:14%20GMT	https://neuroexpert.in/Cerebellopontine-angle-CPA-tumors.html	E:/My%20Websites/Neuro%20Expert/neuroexpert.in/Cerebellopontine-angle-CPA-tumors.html	(from https://neuroexpert.in/)
21:01:45	16889/16889	---M-Z	200	added ('OK')	text/html	date:Mon,%2019%20Apr%202021%2021:19:14%20GMT	https://neuroexpert.in/Skull-Base-Surgery.html	E:/My%20Websites/Neuro%20Expert/neuroexpert.in/Skull-Base-Surgery.html	(from https://neuroexpert.in/)
21:01:46	16004/16004	---M-Z	200	added ('OK')	text/html	date:Mon,%2019%20Apr%202021%2021:19:14%20GMT	https://neuroexpert.in/Hydrocephalus.html	E:/My%20Websites/Neuro%20Expert/neuroexpert.in/Hydrocephalus.html	(from https://neuroexpert.in/)
